ingredient_id,name,strength
16048,POPULUS ALBA POLLEN,.05 g/mL
16049,QUERCUS ALBA POLLEN,.05 g/mL
16050,ULMUS CRASSIFOLIA POLLEN,.05 g/mL
16051,HYDROCODONE BITARTRATE,80 mg/1
16052,TITANIUM DIOXIDE,30 mg/mL
16053,CARYA OVATA POLLEN,.1 g/mL
16054,ASPERGILLUS FLAVUS VAR. ORYZAE,40000 [PNU]/mL
16055,ASPERGILLUS NIGER VAR. NIGER,40000 [PNU]/mL
16056,ASPERGILLUS REPENS,40000 [PNU]/mL
16057,ASPERGILLUS TERREUS,40000 [PNU]/mL
16058,".ALPHA.-TOCOPHEROL ACETATE, DL-",30 mg/1
16059,CHOLECALCIFEROL,20 ug/1
16060,CHROMIUM NICOTINATE,35 ug/1
16061,CYANOCOBALAMIN,8 ug/1
16062,FOLIC ACID,1000 ug/1
16063,MAGNESIUM OXIDE,200 mg/1
16064,MANGANESE SULFATE,2.3 mg/1
16065,MOLYBDENUM,45 ug/1
16066,RIBOFLAVIN,3.4 mg/1
16067,SELENIUM,55 ug/1
16068,THIAMINE MONONITRATE,3 mg/1
16069,VITAMIN A ACETATE,1500 ug/1
16070,UREA,395 mg/g
16071,GALLUS GALLUS FEATHER,.05 g/mL
16072,BREXPIPRAZOLE,4 mg/1
16073,BUSULFAN,6 mg/mL
16074,AMERICAN LOBSTER,.1 g/mL
16075,COMMON SHRIMP,.1 g/mL
16076,EASTERN OYSTER,.1 g/mL
16077,RED KING CRAB,.1 g/mL
16078,CAPSAICIN,.34 mg/mL
16079,"MENTHOL, UNSPECIFIED FORM",105 mg/mL
16080,"MENTHOL, UNSPECIFIED FORM",.05 g/g
16081,ALCOHOL,680 mg/mL
16082,MENTHOL,1.9 g/100g
16083,METHYL SALICYLATE,13.7 g/100g
16084,METHYL SALICYLATE,12.5 g/100g
16085,MENTHOL,10 mg/1
16086,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,200 ug/.3mL
16087,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,360 ug/.6mL
16088,OXYQUINOLINE SULFATE,.25 mg/g
16089,SODIUM LAURYL SULFATE,.1 mg/g
16090,BUPRENORPHINE HYDROCHLORIDE,300 ug/1
16091,DICLOFENAC SODIUM,1 mg/mL
16092,LISDEXAMFETAMINE DIMESYLATE,10 mg/1
16093,HOMOSALATE,225 mg/mL
16094,MOMETASONE FUROATE MONOHYDRATE,25 ug/1
16095,ARNICA MONTANA WHOLE,8 [hp_X]/35g
16096,BETULA PENDULA LEAF,8 [hp_X]/35g
16097,HEDERA HELIX FLOWERING TWIG,6 [hp_X]/35g
16098,HORSE CHESTNUT,4 [hp_X]/35g
16099,MELILOTUS OFFICINALIS TOP,4 [hp_X]/35g
16100,RHODODENDRON TOMENTOSUM LEAFY TWIG,3 [hp_X]/35g
16101,SULFUR,15 [hp_X]/35g
16102,TOXICODENDRON PUBESCENS LEAF,8 [hp_X]/35g
16103,THUJA OCCIDENTALIS LEAFY TWIG,3 [hp_X]/50mL
16104,ANAMIRTA COCCULUS SEED,4 [hp_X]/50mL
16105,BARIUM CARBONATE,8 [hp_X]/50mL
16106,FERULA SUMBUL ROOT,6 [hp_X]/50mL
16107,IBERIS AMARA SEED,4 [hp_X]/50mL
16108,MAGNESIUM CHLORIDE,6 [hp_X]/50mL
16109,MELILOTUS OFFICINALIS TOP,3 [hp_X]/50mL
16110,SODIUM TETRACHLOROAURATE,6 [hp_X]/50mL
16111,VISCUM ALBUM FRUITING TOP,3 [hp_X]/50mL
16112,ARTEMISIA ABROTANUM FLOWERING TOP,8 [hp_X]/250mL
16113,BARIUM CARBONATE,12 [hp_X]/250mL
16114,CALCIUM HYPOPHOSPHITE,4 [hp_X]/250mL
16115,CINCHONA OFFICINALIS BARK,8 [hp_X]/250mL
16116,DELPHINIUM STAPHISAGRIA SEED,6 [hp_X]/250mL
16117,LYCOPODIUM CLAVATUM SPORE,12 [hp_X]/250mL
16118,PHOSPHORIC ACID,4 [hp_X]/250mL
16119,SILVER NITRATE,6 [hp_X]/250mL
16120,HELIUM,200 mL/L
16121,NITROGEN,300 mL/L
16122,DIMETHICONE,1.1 g/100mL
16123,INTERFERON BETA-1A,30 ug/.5mL
16124,CLAVULANATE POTASSIUM,31.25 mg/5mL
16125,DARUNAVIR ETHANOLATE,75 mg/1
16126,APALUTAMIDE,240 mg/1
16127,GIBBERELLA ZEAE,.05 g/mL
16128,MUCOR PLUMBEUS,.05 g/mL
16129,ALPRAZOLAM,3 mg/1
16130,"DISTEAROYLPHOSPHATIDYLCHOLINE, DL-",.19 mg/mg
16131,"SODIUM 1,2-DIPALMITOYL-SN-GLYCERO-3-PHOSPHO-(1'-RAC-GLYCEROL)",.19 mg/mg
16132,SULFUR HEXAFLUORIDE,60.7 mg/mg
16133,IOMEPROL,612 mg/mL
16134,IOMEPROL,816 mg/mL
16135,MENTHOL,2.6 mg/1
16136,HYDROGEN PEROXIDE,17 mg/g
16137,STANNOUS FLUORIDE,1.53 mg/g
16138,ALCOHOL,65 mm/100mL
16139,OCTINOXATE,75 1/1000g
16140,OCTISALATE,25 1/1000g
16141,OCTISALATE,27.5 g/1000g
16142,HOMOSALATE,110 g/1000g
16143,OCTISALATE,50 g/1000g
16144,OCTOCRYLENE,60 g/1000g
16145,ZINC OXIDE,90 g/1000g
16146,SODIUM NITRITE,30 mg/mL
16147,HYDROGEN PEROXIDE,2.14 g/100g
16148,ABEMACICLIB,150 mg/1
16149,HYDROXYUREA,500 mg/1
16150,CITRIC ACID MONOHYDRATE,1000 mg/1
16151,SODIUM BICARBONATE,1976 mg/1
16152,SODIUM BICARBONATE,1650 mg/1
16153,HOMATROPINE METHYLBROMIDE,1.5 mg/5mL
16154,HYDROCODONE BITARTRATE,5 mg/5mL
16155,ANTHRAX IMMUNE GLOBULIN HUMAN,60 [iU]/35mL
16156,TRAVOPROST,.04 mg/mL
16157,DESMOPRESSIN ACETATE,10 ug/1
16158,CARVEDILOL PHOSPHATE,20 mg/1
16159,CYCLOBENZAPRINE HYDROCHLORIDE,15 mg/1
16160,DUPILUMAB,100 mg/.67mL
16161,LENALIDOMIDE,25 mg/1
16162,BEPOTASTINE BESYLATE,15 mg/mL
16163,CEFTRIAXONE SODIUM,10 g/1
16164,FENTANYL,25 ug/h
16165,FENTANYL,87.5 ug/h
16166,FENTANYL,62.5 ug/h
16167,LEUCOVORIN CALCIUM,25 mg/1
16168,BROMOCRIPTINE MESYLATE,2.5 mg/1
16169,BENZTROPINE MESYLATE,.5 mg/1
16170,CLOBAZAM,10 mg/1
16171,AVOBENZONE,.025 g/1
16172,OCTINOXATE,.075 g/1
16173,OCTOCRYLENE,.05 g/1
16174,HOMOSALATE,.065 g/mL
16175,OCTINOXATE,.075 g/mL
16176,OXYBENZONE,.02 g/mL
16177,SULFUR,1 [hp_X]/g
16178,COAL TAR,20 mg/g
16179,PENICILLIN G BENZATHINE,600000 [iU]/2mL
16180,PENICILLIN G PROCAINE,600000 [iU]/2mL
16181,PENICILLIN G BENZATHINE,2400000 [iU]/4mL
16182,DIMETHICONE,20 mg/mL
16183,PETROLATUM,715 mg/g
16184,CAPSAICIN,.15 g/100g
16185,MENTHOL,13.5 g/100g
16186,HOMOSALATE,125 mg/g
16187,ARNICA MONTANA,6 [hp_X]/100mL
16188,CAMPHOR (NATURAL),2 [hp_X]/100mL
16189,CRATAEGUS LAEVIGATA WHOLE,1 [hp_X]/100mL
16190,KALMIA LATIFOLIA LEAF,4 [hp_X]/100mL
16191,NITROGLYCERIN,8 [hp_X]/100mL
16192,SELENICEREUS GRANDIFLORUS STEM,2 [hp_X]/100mL
16193,SPIGELIA ANTHELMIA,4 [hp_X]/100mL
16194,TOBACCO LEAF,8 [hp_X]/100mL
16195,ZINC OXIDE,70 mg/mL
16196,PETROLATUM,76 g/100g
16197,ALCOHOL,500 mg/g
16198,MENTHOL,.02 g/g
16199,CALENDULA OFFICINALIS FLOWERING TOP,12 [hp_C]/11mL
16200,LYCOPODIUM CLAVATUM SPORE,12 [hp_C]/11mL
16201,THUJA OCCIDENTALIS LEAFY TWIG,12 [hp_C]/11mL
16202,PHYTOLACCA AMERICANA ROOT,12 [hp_C]/11mL
16203,OXYGEN,992 L/1000L
16204,AVOBENZONE,2.9 mg/100mL
16205,HOMOSALATE,9.8 mg/100mL
16206,OCTISALATE,4.9 mg/100mL
16207,OCTOCRYLENE,9.5 mg/100mL
16208,ZINC OXIDE,152 mg/mL
16209,BENZALKONIUM CHLORIDE,.013 mg/mL
16210,PILOCARPINE HYDROCHLORIDE,40 mg/mL
16211,TITANIUM DIOXIDE,15.09 g/100g
16212,ZINC OXIDE,17.55 g/100g
16213,METHYL SALICYLATE,160 mg/17g
16214,OCTOCRYLENE,2.75 g/100mL
16215,OXYBENZONE,4 g/100mL
16216,MERADIMATE,4 g/100g
16217,OXYBENZONE,5 g/100g
16218,OCTINOXATE,2 g/100mL
16219,POTASSIUM CHLORIDE,1 [hp_X]/1
16220,POTASSIUM DICHROMATE,3 [hp_X]/1
16221,AESCULUS HIPPOCASTANUM FLOWER,6 [hp_X]/227g
16222,ARNICA MONTANA,6 [hp_X]/227g
16223,ATROPA BELLADONNA,6 [hp_X]/227g
16224,CALENDULA OFFICINALIS FLOWERING TOP,4 [hp_X]/227g
16225,CROTALUS HORRIDUS HORRIDUS VENOM,8 [hp_X]/227g
16226,ECHINACEA ANGUSTIFOLIA,4 [hp_X]/227g
16227,GRAPHITE,6 [hp_X]/227g
16228,HELODERMA HORRIDUM VENOM,8 [hp_X]/227g
16229,LACHESIS MUTA VENOM,8 [hp_X]/227g
16230,NAJA NAJA VENOM,8 [hp_X]/227g
16231,PHOSPHORUS,9 [hp_X]/227g
16232,RUTA GRAVEOLENS FLOWERING TOP,6 [hp_X]/227g
16233,SULFUR,8 [hp_X]/227g
16234,TOXICODENDRON PUBESCENS LEAF,8 [hp_X]/227g
16235,PANTHENOL,2.5 g/500mL
16236,PYRITHIONE ZINC,3 g/500mL
16237,ABEMACICLIB,200 mg/1
16238,RAMIPRIL,2.5 mg/1
16239,OCTINOXATE,1.95 g/30g
16240,OCTISALATE,1.5 g/30g
16241,TITANIUM DIOXIDE,1.275 g/30g
16242,MAGNESIUM SULFATE HEPTAHYDRATE,6 [hp_X]/210mL
16243,MAGNESIUM SULFATE HEPTAHYDRATE,6 [hp_X]/101mL
16244,ALETRIS FARINOSA ROOT,12 [hp_X]/59mL
16245,AMANITA MUSCARIA FRUITING BODY,12 [hp_X]/59mL
16246,ANGELICA SINENSIS ROOT,12 [hp_X]/59mL
16247,ARNICA MONTANA,12 [hp_X]/59mL
16248,AVENA SATIVA FLOWERING TOP,12 [hp_X]/59mL
16249,BARIUM IODIDE,12 [hp_X]/59mL
16250,CHASTE TREE,12 [hp_X]/59mL
16251,DIAMOND,12 [hp_X]/59mL
16252,GRAPHITE,12 [hp_X]/59mL
16253,LYCOPODIUM CLAVATUM SPORE,12 [hp_X]/59mL
16254,OCIMUM TENUIFLORUM TOP,12 [hp_X]/59mL
16255,PHOSPHORIC ACID,12 [hp_X]/59mL
16256,POTASSIUM BROMIDE,12 [hp_X]/59mL
16257,SELENIUM,12 [hp_X]/59mL
16258,SEPIA OFFICINALIS JUICE,12 [hp_X]/59mL
16259,SILVER NITRATE,12 [hp_X]/59mL
16260,THUJA OCCIDENTALIS LEAFY TWIG,12 [hp_X]/59mL
16261,WOOD CREOSOTE,12 [hp_X]/59mL
16262,ACONITUM NAPELLUS,12 [hp_X]/59mL
16263,ARSENIC TRIOXIDE,12 [hp_X]/59mL
16264,GELSEMIUM SEMPERVIRENS ROOT,12 [hp_X]/59mL
16265,LEAD,12 [hp_X]/59mL
16266,PICRIC ACID,12 [hp_X]/59mL
16267,TRIBASIC CALCIUM PHOSPHATE,12 [hp_X]/59mL
16268,ATROPA BELLADONNA,12 [hp_X]/59mL
16269,BERBERIS VULGARIS ROOT BARK,12 [hp_X]/59mL
16270,CHELIDONIUM MAJUS,12 [hp_X]/59mL
16271,CHOLESTEROL,12 [hp_X]/59mL
16272,CITRULLUS COLOCYNTHIS FRUIT PULP,12 [hp_X]/59mL
16273,MILK THISTLE,12 [hp_X]/59mL
16274,NITRIC ACID,12 [hp_X]/59mL
16275,"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",12 [hp_X]/59mL
16276,ECHINACEA PURPUREA,12 [hp_X]/59mL
16277,FERRIC FERROCYANIDE,12 [hp_X]/59mL
16278,HOPS,12 [hp_X]/59mL
16279,PASSIFLORA INCARNATA FLOWERING TOP,12 [hp_X]/59mL
16280,PHOSPHORUS,12 [hp_X]/59mL
16281,QUININE,12 [hp_X]/59mL
16282,STRYCHNOS IGNATII SEED,12 [hp_X]/59mL
16283,SULFURIC ACID,12 [hp_X]/59mL
16284,ARNICA MONTANA FLOWER,200 [hp_X]/30mL
16285,BELLIS PERENNIS,12 [hp_X]/30mL
16286,COMFREY ROOT,6 [hp_X]/30mL
16287,DELPHINIUM STAPHISAGRIA SEED,12 [hp_X]/30mL
16288,ST. JOHN'S WORT,30 [hp_X]/30mL
16289,ANEMONE PULSATILLA,10 [hp_X]/30mL
16290,BOS TAURUS HYPOTHALAMUS,10 [hp_X]/30mL
16291,CHOLESTEROL,10 [hp_X]/30mL
16292,EPINEPHRINE,10 [hp_X]/30mL
16293,ESTRONE,10 [hp_X]/30mL
16294,SUS SCROFA OVARY,10 [hp_X]/30mL
16295,ARNICA MONTANA,18 [hp_X]/4g
16296,BRYONIA ALBA ROOT,8 [hp_X]/4g
16297,HYPERICUM PERFORATUM,8 [hp_X]/4g
16298,KALMIA LATIFOLIA LEAF,8 [hp_X]/4g
16299,MATRICARIA RECUTITA,8 [hp_X]/4g
16300,TOXICODENDRON PUBESCENS LEAF,8 [hp_X]/4g
16301,ANTIMONY TRISULFIDE,5 [hp_C]/4g
16302,BOS TAURUS HYPOTHALAMUS,18 [hp_X]/4g
16303,FUCUS VESICULOSUS,1 [hp_X]/4g
16304,PHYTOLACCA AMERICANA ROOT,2 [hp_X]/4g
16305,SEMECARPUS ANACARDIUM JUICE,5 [hp_C]/4g
16306,SODIUM SULFATE,9 [hp_C]/4g
16307,"THYROID, UNSPECIFIED",8 [hp_X]/4g
16308,COPPER,10 [hp_X]/4g
16309,CUPRIC ARSENITE,10 [hp_X]/4g
16310,"LACTIC ACID, L-",10 [hp_X]/4g
16311,"MAGNESIUM PHOSPHATE, TRIBASIC, PENTAHYDRATE",10 [hp_X]/4g
16312,"POTASSIUM PHOSPHATE, DIBASIC",10 [hp_X]/4g
16313,INFLUENZA A VIRUS,9 [hp_C]/4g
16314,INFLUENZA B VIRUS,9 [hp_C]/4g
16315,EVINACUMAB,150 mg/mL
16316,CAMPHOR (NATURAL),4 g/100mL
16317,MENTHOL,8 g/100mL
16318,ELUXADOLINE,75 mg/1
16319,EXENATIDE,250 ug/mL
16320,PRAMLINTIDE ACETATE,1000 ug/mL
16321,RALTEGRAVIR POTASSIUM,400 mg/1
16322,BENZOYL PEROXIDE,146.7 mg/g
16323,PETROLATUM,33 g/100g
16324,CAFFEINE,1 [hp_X]/1
16325,PANAX NOTOGINSENG ROOT,2 [hp_X]/1
16326,ROSA CANINA LEAF,1 [hp_X]/1
16327,BARICITINIB,4 mg/1
16328,TENOFOVIR DISOPROXIL FUMARATE,150 mg/1
16329,ELVITEGRAVIR,150 mg/1
16330,EMTRICITABINE,120 mg/1
16331,TENOFOVIR ALAFENAMIDE FUMARATE,15 mg/1
16332,PYRITHIONE ZINC,1.1 g/100g
16333,PYRITHIONE ZINC,.01 g/.01g
16334,SODIUM FLUORIDE,.0272 g/g
16335,OCTOCRYLENE,27.9 mg/g
16336,NOREPINEPHRINE BITARTRATE,4 mg/250mL
16337,TITANIUM DIOXIDE,45 mg/g
16338,ZINC OXIDE,128 mg/g
16339,ZINC OXIDE,144 mg/g
16340,ACONITUM NAPELLUS,6 [hp_X]/30mL
16341,BLACK COHOSH,3 [hp_X]/30mL
16342,LACHESIS MUTA VENOM,8 [hp_X]/30mL
16343,MELISSA OFFICINALIS,2 [hp_X]/30mL
16344,PLATINUM,8 [hp_X]/30mL
16345,SANGUINARIA CANADENSIS ROOT,3 [hp_X]/30mL
16346,SEPIA OFFICINALIS JUICE,3 [hp_X]/30mL
16347,SULFURIC ACID,6 [hp_X]/30mL
16348,VALERIAN,6 [hp_X]/30mL
16349,ORYCTOLAGUS CUNICULUS THYROID,4 [hp_C]/30mL
16350,ACTIVATED CHARCOAL,12 [hp_X]/30mL
16351,ARSENIC TRIIODIDE,7 [hp_X]/30mL
16352,OENANTHE AQUATICA FRUIT,5 [hp_X]/30mL
16353,ORYCTOLAGUS CUNICULUS LUNG,10 [hp_X]/30mL
16354,SILICON DIOXIDE,12 [hp_X]/30mL
16355,SULFUR,12 [hp_X]/30mL
16356,THYME,4 [hp_X]/30mL
16357,TIN,10 [hp_X]/30mL
16358,TRIBASIC CALCIUM PHOSPHATE,10 [hp_X]/30mL
16359,FUCUS VESICULOSUS,1 [hp_X]/50mL
16360,"SPONGIA OFFICINALIS SKELETON, ROASTED",2 [hp_X]/50mL
16361,SPONGILLA LACUSTRIS,3 [hp_X]/50mL
16362,LEAD,12 [hp_X]/20mL
16363,MELISSA OFFICINALIS,4 [hp_X]/20mL
16364,MENTHA PIPERITA,4 [hp_X]/20mL
16365,SALVIA PRATENSIS LEAF,4 [hp_X]/20mL
16366,THYMUS VULGARIS WHOLE,4 [hp_X]/20mL
16367,ACONITUM NAPELLUS,4 [hp_X]/20mL
16368,"COFFEA ARABICA SEED, ROASTED",4 [hp_X]/20mL
16369,MANGANESE DIOXIDE,12 [hp_X]/20mL
16370,SAGE,4 [hp_X]/20mL
16371,ARCTIUM LAPPA ROOT,4 [hp_X]/20mL
16372,DELPHINIUM STAPHISAGRIA SEED,12 [hp_X]/20mL
16373,SOLANUM DULCAMARA TOP,4 [hp_X]/20mL
16374,STAR ANISE FRUIT,4 [hp_X]/20mL
16375,MAGNOLIA GRANDIFLORA FLOWER,4 [hp_X]/20mL
16376,STROPHANTHUS GRATUS SEED,4 [hp_X]/20mL
16377,ARNICA MONTANA ROOT,4 [hp_X]/20mL
16378,EQUISETUM ARVENSE BRANCH,4 [hp_X]/20mL
16379,PERSICARIA PUNCTATA,4 [hp_X]/20mL
16380,RUBUS FRUTICOSUS LEAF,4 [hp_X]/20mL
16381,VERBASCUM DENSIFLORUM FLOWERING TOP,4 [hp_X]/20mL
16382,ALOE,6 [hp_X]/20mL
16383,STRYCHNOS NUX-VOMICA SEED,4 [hp_X]/20mL
16384,APIS MELLIFERA,4 [hp_X]/20mL
16385,CALENDULA OFFICINALIS FLOWERING TOP,4 [hp_X]/20mL
16386,LYCOPODIUM CLAVATUM SPORE,4 [hp_X]/20mL
16387,LACTUCA VIROSA,6 [hp_X]/20mL
16388,PASSIFLORA INCARNATA FLOWERING TOP,6 [hp_X]/20mL
16389,THYMUS VULGARIS WHOLE,6 [hp_X]/20mL
16390,VALERIAN,6 [hp_X]/20mL
16391,SODIUM BORATE,1 [hp_X]/1
16392,"CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS",1 [hp_X]/1
16393,ACTIVATED CHARCOAL,1 [hp_X]/1
16394,MERCURIC CHLORIDE,6 [hp_X]/1
16395,PLATINUM,3 [hp_X]/1
16396,QUININE SULFATE,3 [hp_X]/1
16397,ALANINE,1656 mg/100mL
16398,ARGININE,920 mg/100mL
16399,DEXTROSE,14 g/100mL
16400,GLYCINE,824 mg/100mL
16401,HISTIDINE,384 mg/100mL
16402,ISOLEUCINE,480 mg/100mL
16403,LEUCINE,584 mg/100mL
16404,LYSINE,464 mg/100mL
16405,METHIONINE,320 mg/100mL
16406,PHENYLALANINE,448 mg/100mL
16407,PROLINE,544 mg/100mL
16408,SERINE,400 mg/100mL
16409,SODIUM CHLORIDE,205 mg/100mL
16410,THREONINE,336 mg/100mL
16411,TRYPTOPHAN,144 mg/100mL
16412,TYROSINE,32 mg/100mL
16413,VALINE,464 mg/100mL
16414,FORMICA RUFA,1 [hp_X]/1
16415,MAGNESIUM CHLORIDE,30 mg/100mL
16416,POTASSIUM CHLORIDE,37 mg/100mL
16417,SODIUM ACETATE,368 mg/100mL
16418,SODIUM CHLORIDE,526 mg/100mL
16419,SODIUM GLUCONATE,502 mg/100mL
16420,CAPSICUM,3 [hp_X]/1
16421,MATRICARIA RECUTITA,1 [hp_X]/1
16422,HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK,1 [hp_X]/1
16423,LOBELIA INFLATA,3 [hp_X]/1
16424,SOLIDAGO VIRGAUREA FLOWERING TOP,1 [hp_X]/1
16425,LIDOCAINE HYDROCHLORIDE,8 mg/mL
16426,METHYLDOPA,500 mg/1
16427,HYOSCYAMINE SULFATE,.125 mg/5mL
16428,OXYBUTYNIN CHLORIDE,5 mg/5mL
16429,GENTAMICIN SULFATE,100 mg/50mL
16430,MEMANTINE HYDROCHLORIDE,2 mg/mL
16431,HYPROMELLOSE 2208 (15000 MPA.S),17 mg/mL
16432,"MENTHOL, UNSPECIFIED FORM",205.5 mg/1
16433,"MENTHOL, UNSPECIFIED FORM",210 mg/1
16434,PAROXETINE HYDROCHLORIDE,12.5 mg/1
16435,NOREPINEPHRINE,6 [hp_X]/mL
16436,OCTOPAMINE,6 [hp_X]/mL
16437,SUS SCROFA PINEAL GLAND,8 [hp_X]/mL
16438,SUS SCROFA THALAMUS LATERAL GENICULATE NUCLEUS,8 [hp_X]/mL
16439,PICRIC ACID,8 [hp_X]/mL
16440,SULFUR,28 [hp_X]/mL
16441,SUS SCROFA INTERVERTEBRAL DISC,8 [hp_X]/mL
16442,ANEMONE PRATENSIS,6 [hp_X]/mL
16443,FORMALDEHYDE SOLUTION,30 [hp_X]/mL
16444,"SODIUM CITRATE, UNSPECIFIED FORM",30 [hp_X]/mL
16445,AVOBENZONE,.02 g/g
16446,OCTINOXATE,.06 g/g
16447,JAPANESE ENCEPHALITIS VIRUS STRAIN SA 14-14-2 ANTIGEN (FORMALDEHYDE INACTIVATED),6 ug/.5mL
16448,POTASSIUM CHLORIDE,29.8 g/1000mL
16449,DEXTROSE MONOHYDRATE,70 g/100mL
16450,KETOROLAC,2.88 mg/mL
16451,PHENYLEPHRINE,10.16 mg/mL
16452,DEXTROSE,10 g/100mL
16453,PRAMIPEXOLE DIHYDROCHLORIDE,.375 mg/1
16454,ASENAPINE,5 mg/1
16455,DESIPRAMINE HYDROCHLORIDE,150 mg/1
16456,POLYGALA SENEGA WHOLE,3 [hp_X]/113g
16457,VANCOMYCIN HYDROCHLORIDE,750 mg/150mL
16458,BENZALKONIUM CHLORIDE,.65 g/500mL
16459,PANCRELIPASE AMYLASE,98400 [USP'U]/1
16460,PANCRELIPASE LIPASE,16800 [USP'U]/1
16461,PANCRELIPASE PROTEASE,56800 [USP'U]/1
16462,OCTOCRYLENE,1.5 g/100mL
16463,OXYBENZONE,1 g/100mL
16464,IFOSFAMIDE,1 g/20mL
16465,SINECATECHINS,150 mg/g
16466,MESALAMINE,4 g/60mL
16467,DIOSCOREA VILLOSA ROOT,2 [hp_X]/mL
16468,GINGER,2 [hp_X]/mL
16469,CHLOROXYLENOL,6 mg/mL
16470,BROMUS SECALINUS POLLEN,30 [hp_X]/mL
16471,EUCALYPTUS GLOBULUS POLLEN,30 [hp_X]/mL
16472,OLEA EUROPAEA POLLEN,30 [hp_X]/mL
16473,PHOENIX DACTYLIFERA POLLEN,30 [hp_X]/mL
16474,QUERCUS AGRIFOLIA POLLEN,30 [hp_X]/mL
16475,ACREMONIUM STRICTUM,30 [hp_X]/mL
16476,BOTRYTIS CINEREA,30 [hp_X]/mL
16477,CHAETOMIUM GLOBOSUM,30 [hp_X]/mL
16478,CLADOSPORIUM CLADOSPORIOIDES,30 [hp_X]/mL
16479,EPICOCCUM NIGRUM,30 [hp_X]/mL
16480,HAEMATONECTRIA HAEMATOCOCCA,30 [hp_X]/mL
16481,KHUSKIA ORYZAE,30 [hp_X]/mL
16482,NEUROSPORA SITOPHILA,30 [hp_X]/mL
16483,PHOMA EXIGUA VAR. EXIGUA,30 [hp_X]/mL
16484,RHODOTORULA RUBRA,30 [hp_X]/mL
16485,STEMPHYLIUM SARCINIFORME,30 [hp_X]/mL
16486,TRICHODERMA VIRIDE,30 [hp_X]/mL
16487,TRICHOPHYTON MENTAGROPHYTES,30 [hp_X]/mL
16488,BETULA OCCIDENTALIS POLLEN,30 [hp_X]/mL
16489,BERBERIS VULGARIS ROOT BARK,2 [hp_X]/mL
16490,BILBERRY,2 [hp_X]/mL
16491,PHOSPHORIC ACID,4 [hp_X]/mL
16492,SYZYGIUM CUMINI SEED,10 [hp_X]/mL
16493,WOOD CREOSOTE,6 [hp_X]/mL
16494,ACACIA POLLEN,30 [hp_X]/1
16495,ACER NEGUNDO POLLEN,30 [hp_X]/1
16496,ACER RUBRUM POLLEN,30 [hp_X]/1
16497,ACER SACCHARUM POLLEN,30 [hp_X]/1
16498,AGROSTIS GIGANTEA POLLEN,30 [hp_X]/1
16499,ALNUS INCANA SUBSP. RUGOSA POLLEN,30 [hp_X]/1
16500,ALNUS RUBRA POLLEN,30 [hp_X]/1
16501,ARTEMISIA VULGARIS POLLEN,30 [hp_X]/1
16502,BACCHARIS HALIMIFOLIA POLLEN,30 [hp_X]/1
16503,BAPTISIA TINCTORIA ROOT,3 [hp_X]/1
16504,BETULA LENTA POLLEN,30 [hp_X]/1
16505,BETULA NIGRA POLLEN,30 [hp_X]/1
16506,BETULA PAPYRIFERA POLLEN,30 [hp_X]/1
16507,CARYA ALBA POLLEN,30 [hp_X]/1
16508,CARYA GLABRA POLLEN,30 [hp_X]/1
16509,CARYA ILLINOINENSIS POLLEN,30 [hp_X]/1
16510,CARYA LACINIOSA POLLEN,30 [hp_X]/1
16511,CARYA OVATA POLLEN,30 [hp_X]/1
16512,CELTIS OCCIDENTALIS POLLEN,30 [hp_X]/1
16513,CUPRESSUS ARIZONICA POLLEN,30 [hp_X]/1
16514,CYNODON DACTYLON POLLEN,30 [hp_X]/1
16515,DACTYLIS GLOMERATA POLLEN,30 [hp_X]/1
16516,"ECHINACEA, UNSPECIFIED",3 [hp_X]/1
16517,EUCALYPTUS GLOBULUS POLLEN,30 [hp_X]/1
16518,FAGUS GRANDIFOLIA POLLEN,30 [hp_X]/1
16519,FENUGREEK LEAF,3 [hp_X]/1
16520,FESTUCA PRATENSIS POLLEN,30 [hp_X]/1
16521,FRAXINUS AMERICANA POLLEN,30 [hp_X]/1
16522,FRAXINUS PENNSYLVANICA POLLEN,30 [hp_X]/1
16523,FRAXINUS VELUTINA POLLEN,30 [hp_X]/1
16524,GOLDENSEAL,3 [hp_X]/1
16525,JUGLANS NIGRA POLLEN,30 [hp_X]/1
16526,JUNIPERUS ASHEI POLLEN,30 [hp_X]/1
16527,JUNIPERUS PINCHOTII POLLEN,30 [hp_X]/1
16528,JUNIPERUS VIRGINIANA POLLEN,30 [hp_X]/1
16529,LIGUSTRUM VULGARE POLLEN,30 [hp_X]/1
16530,LIQUIDAMBAR STYRACIFLUA POLLEN,30 [hp_X]/1
16531,LOLIUM PERENNE POLLEN,30 [hp_X]/1
16532,MORELLA CERIFERA POLLEN,30 [hp_X]/1
16533,MORUS RUBRA POLLEN,30 [hp_X]/1
16534,MYRRH,3 [hp_X]/1
16535,NASTURTIUM OFFICINALE,3 [hp_X]/1
16536,PASPALUM NOTATUM POLLEN,30 [hp_X]/1
16537,PHOENIX DACTYLIFERA POLLEN,30 [hp_X]/1
16538,PHYTOLACCA AMERICANA ROOT,3 [hp_X]/1
16539,PINUS STROBUS POLLEN,30 [hp_X]/1
